Score
Neutral
Unhappy
Neutral
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Neutral
Unhappy
Unhappy
Unhappy
Happy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Neutral
Unhappy
Neutral
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Neutral
Unhappy
Unhappy
Unhappy
Happy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Neutral
Unhappy
Neutral
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Neutral
Unhappy
Unhappy
Unhappy
Happy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
Unhappy
