ABS
Absorbitor
Airbag
Alarma
Alezaj
Aliniament
Ambreiaj
Ampatament
Angrenaj
Anvelope 
Arbore 
DOHC
Anti-Lock 
antiblocare
Asigurare
Atenuator 
Ax
frana
Biela
Bi-turbo
Blocare
Bucsa
Bujia
monobloc
CAFE
Carburator
Catalizator
Centru 
COMPRESIE
FRECARE
REZISTENTA
Compresor
Aerul 
Condensator
COSTURILE
Cuplul
Cuplul motor
Deplasare
Dieseling
Diferential
Dinamometru
Dispozitiv
Discul
Distribuitor
Distributia 
Echipare 
EGR
Electrolit
Eleron
ESP
Faruri 
Faza scurta
Frana 
Garnitura 
Generator
GPS
Grund
HUD
Hidropneumatica
Injectia
Injector
Jante
Kilometraj
Km
Kilometri
Leasing
Lichid
LPG
NOx
Otel 
OVH
Panoul lateral
Pinionul
Pistonul
Plies
Pompa 
Pound-Feet
Predetonare
Presiunea 
Racitor
Racire 
EGR
Rezistenta
Rezonator
RPM
Sabot
SAE
Semiarbore
Servodirectie 
Sincronizarea
Powertrain
EIS
EFI 
Stroke
Strut
Subvirare
Supapa
Supapa 
Supraalimentator
Supravirare
Surmenaj
Overdrive
Suspensie
Tahometru
Tangaj
Tambur
TDI 
TPi 
4WD
Tractiune 
AWD
Tractiune pe spate
Turboincarcator
Turbocompresor
Turometru
Consum
