MEDIOCRU
NEGATIV
NEPLACUT
NEINTERESANT
INUTIL
VARZA
NASPA
NASOL
URAT
RAU
PROBLEMA
NEPLACUT
NEFOLOSITOR
NESPATIOS
NEINOVATIV
SCUMP
INFERIOR
NIMIC
STRICAT
DEFECT
INFECT
INEFICIENT
NEADECVAT
PROASTA
NEMULTUMIT
MARE
CICA
ANORMAL
SCAD
PACAT
AIUREA
DEZAMAGITOR
SUPARATOR
SUPARAT
DEZAMAGIT
NERVOS
DELOC
NICAIERI
GREA
SLABE
BATAIE
TRIST
LENTA
MOARTA
DISTRUSA
RUPTA
SOCURI
ABANDONAT
DEREGLARE
NECONVENABIL
DEFICITAR
INGRIJORAT
DESCURAJEZ
INDIGNAT
SPART
NELINISTE
NESIGUR
DEGRADATA
INSTABILITATE
